PCLN,Priceline.com Inc,Consumer Discretionary,1075531
PFG,Principal Financial Group,Financials,1126328
PG,Procter & Gamble,Consumer Staples,80424
PGR,Progressive Corp.,Financials,80661
PLD,Prologis,Financials,1045609
PRU,Prudential Financial,Financials,1137774
PEG,Public Serv. Enterprise Inc.,Utilities,788784
PSA,Public Storage,Financials,1393311
PHM,Pulte Homes Inc.,Consumer Discretionary,822416
PVH,PVH Corp.,Consumer Discretionary,78239
QEP,QEP Resources,Energy,1108827
PWR,Quanta Services Inc.,Industrials,1050915
QCOM,QUALCOMM Inc.,Information Technology,804328
DGX,Quest Diagnostics,Health Care,1022079
RRC,Range Resources Corp.,Energy,315852
RTN,Raytheon Co.,Industrials,1047122
RHT,Red Hat Inc.,Information Technology,1087423
REGN,Regeneron,Health Care,872589
RF,Regions Financial Corp.,Financials,1281761
RSG,Republic Services Inc,Industrials,1060391
RAI,Reynolds American Inc.,Consumer Staples,1275283
RHI,Robert Half International,Industrials,315213
ROK,Rockwell Automation Inc.,Industrials,1024478
COL,Rockwell Collins,Industrials,1137411
ROP,Roper Industries,Industrials,882835
ROST,Ross Stores,Consumer Discretionary,745732
RDC,Rowan Cos.,Energy,85408
R,Ryder System,Industrials,85961
SWY,Safeway Inc.,Consumer Staples,86144
CRM,Salesforce.com,Information Technology,1108524
SNDK,SanDisk Corporation,Information Technology,1000180
SCG,SCANA Corp,Utilities,754737
SLB,Schlumberger Ltd.,Energy,87347
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,1430602
STX,Seagate Technology,Information Technology,1137789
SEE,Sealed Air Corp.(New),Materials,1012100
SRE,Sempra Energy,Utilities,1032208
SHW,Sherwin-Williams,Materials,89800
SIAL,Sigma-Aldrich,Materials,90185
SPG,Simon Property Group Inc,Financials,1063761
SJM,Smucker (J.M.),Consumer Staples,91419
SNA,Snap-On Inc.,Consumer Discretionary,91440
SO,Southern Co.,Utilities,92122
LUV,Southwest Airlines,Industrials,92380
SWN,Southwestern Energy,Energy,7332
SE,Spectra Energy Corp.,Energy,1373835
STJ,St Jude Medical,Health Care,203077
SWK,Stanley Black & Decker,Consumer Discretionary,93556
SPLS,Staples Inc.,Consumer Discretionary,791519
SBUX,Starbucks Corp.,Consumer Discretionary,829224
HOT,Starwood Hotels & Resorts,Consumer Discretionary,316206
STT,State Street Corp.,Financials,93751
SRCL,Stericycle Inc,Industrials,861878
SYK,Stryker Corp.,Health Care,310764
STI,SunTrust Banks,Financials,750556
SYMC,Symantec Corp.,Information Technology,849399
SYY,Sysco Corp.,Consumer Staples,96021
TROW,T. Rowe Price Group,Financials,1113169
TGT,Target Corp.,Consumer Discretionary,27419
TEL,TE Connectivity Ltd.,Information Technology,1385157
TE,TECO Energy,Utilities,350563
THC,Tenet Healthcare Corp.,Health Care,70318
TDC,Teradata Corp.,Information Technology,816761
TSO,Tesoro Petroleum Co.,Energy,50104
TXN,Texas Instruments,Information Technology,97476
TXT,Textron Inc.,Industrials,217346
HSY,The Hershey Company,Consumer Staples,47111
TRV,The Travelers Companies Inc.,Financials,86312
TMO,Thermo Fisher Scientific,Health Care,97745
TIF,Tiffany & Co.,Consumer Discretionary,98246
TWX,Time Warner Inc.,Consumer Discretionary,1105705
TWC,Time Warner Cable Inc.,Consumer Discretionary,1377013
TJX,TJX Companies Inc.,Consumer Discretionary,109198
TMK,Torchmark Corp.,Financials,320335
TSS,Total System Services,Information Technology,721683
TSCO,Tractor Supply Company,Consumer Discretionary,916365
RIG,Transocean,Energy,1451505
TRIP,TripAdvisor,Consumer Discretionary,1526520
FOXA,Twenty-First Century Fox,Consumer Discretionary,1308161
TSN,Tyson Foods,Consumer Staples,100493
TYC,Tyco International,Industrials,833444
USB,U.S. Bancorp,Financials,36104
UA,Under Armour,Consumer Discretionary,1336917
UNP,Union Pacific,Industrials,100885
UNH,United Health Group Inc.,Health Care,731766
UPS,United Parcel Service,Industrials,1090727
X,United States Steel Corp.,Materials,1163302
UTX,United Technologies,Industrials,101829
UNM,Unum Group,Financials,5513
URBN,Urban Outfitters,Consumer Discretionary,912615
VFC,V.F. Corp.,Consumer Discretionary,103379
VLO,Valero Energy,Energy,1035002
VAR,Varian Medical Systems,Health Care,203527
VTR,Ventas Inc,Financials,740260
VRSN,Verisign Inc.,Information Technology,1014473
VZ,Verizon Communications,Telecommunications Services,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,875320
VIAB,Viacom Inc.,Consumer Discretionary,1339947
